time,fps,food,herbivores,predators,ratio,pMeanSize,pMeanSpeed,pMeanAgility,pMeanPerception,hMeanSize,hMeanSpeed,hMeanAgility,hMeanPerception
1,60.024,1145,499,20,24.95,1.079,2.691,1.164,97.149,1.103,2.761,1.122,84.022
2,60.024,1218,497,19,26.158,1.102,2.762,1.15,95.089,1.105,2.765,1.123,83.814
3.02,60.024,1317,493,18,27.389,1.128,2.814,1.146,93.912,1.108,2.771,1.124,83.554
4.02,60.024,1392,486,17,28.588,1.159,2.827,1.13,96.173,1.114,2.785,1.126,83.621
5.02,60.024,1449,517,17,30.412,1.159,2.827,1.13,96.173,1.122,2.807,1.125,83.015
6.03,60.024,1519,536,17,31.529,1.22,2.815,1.167,93.467,1.125,2.811,1.125,82.934
7.04,60.024,1565,556,16,34.75,1.237,2.77,1.172,91.141,1.129,2.828,1.127,82.996
8.05,60.024,1591,575,16,35.938,1.237,2.77,1.172,91.141,1.141,2.838,1.127,83.094
9.05,60.024,1616,600,15,40,1.25,2.782,1.162,89.848,1.145,2.852,1.127,82.85
10.07,60.024,1612,612,13,47.077,1.288,2.884,1.15,88.088,1.149,2.85,1.128,82.906
11.07,60.024,1607,634,12,52.833,1.321,2.889,1.183,84.544,1.147,2.861,1.128,83.272
12.09,59.952,1584,648,11,58.909,1.351,2.956,1.21,85.446,1.15,2.872,1.131,82.778
13.1,59.952,1563,665,11,60.455,1.351,2.956,1.21,85.446,1.154,2.886,1.131,83.187
14.12,60.024,1539,680,11,61.818,1.351,2.956,1.21,85.446,1.157,2.889,1.127,83.075
15.12,59.952,1515,701,11,63.727,1.351,2.956,1.21,85.446,1.158,2.904,1.129,82.562
16.14,60.024,1460,723,12,60.25,1.361,3.017,1.238,88.896,1.161,2.927,1.13,82.011
17.14,60.024,1418,740,12,61.667,1.361,3.017,1.238,88.896,1.166,2.926,1.132,81.66
18.14,59.952,1367,757,12,63.083,1.361,3.017,1.238,88.896,1.171,2.938,1.134,81.759
19.15,60.024,1312,777,11,70.636,1.362,3.097,1.233,91.426,1.173,2.963,1.134,81.618
20.17,60.024,1289,792,10,79.2,1.394,3.181,1.26,92.177,1.174,2.963,1.136,81.52
21.17,60.024,1275,810,10,81,1.394,3.181,1.26,92.177,1.176,2.982,1.135,81.221
22.18,60.024,1225,826,12,68.833,1.371,3.211,1.267,86.191,1.178,2.979,1.135,80.85
23.18,60.024,1211,834,12,69.5,1.371,3.211,1.267,86.191,1.185,2.991,1.134,80.835
24.19,60.024,1160,848,12,70.667,1.371,3.211,1.267,86.191,1.186,3.002,1.135,80.468
25.2,60.024,1144,879,13,67.615,1.374,3.127,1.281,82.449,1.192,3.01,1.138,80.472
26.22,59.952,1104,900,14,64.286,1.38,3.167,1.3,85.62,1.196,3.024,1.137,80.171
27.23,59.952,1052,913,14,65.214,1.38,3.167,1.3,85.62,1.197,3.028,1.139,80.069
28.24,59.952,1011,936,13,72,1.391,3.089,1.353,84.856,1.201,3.033,1.139,80.132
29.25,59.952,972,950,13,73.077,1.391,3.089,1.353,84.856,1.199,3.046,1.14,80.051
30.25,59.952,897,975,12,81.25,1.409,3.025,1.354,85.721,1.201,3.06,1.141,80.238
31.26,59.952,872,993,12,82.75,1.409,3.025,1.354,85.721,1.203,3.06,1.142,79.821
32.27,59.952,827,1012,12,84.333,1.409,3.025,1.354,85.721,1.202,3.073,1.145,79.693
33.27,59.952,796,1029,13,79.154,1.414,2.988,1.345,88.097,1.205,3.08,1.146,79.815
34.28,59.952,736,1058,13,81.385,1.414,2.988,1.345,88.097,1.209,3.089,1.146,79.699
35.29,59.952,749,1073,13,82.538,1.414,2.988,1.345,88.097,1.211,3.093,1.149,79.551
36.3,60.024,690,1100,12,91.667,1.42,3.059,1.349,90.35,1.211,3.097,1.151,79.451
37.32,60.024,664,1103,12,91.917,1.42,3.059,1.349,90.35,1.215,3.106,1.156,79.631
38.34,60.024,637,1115,11,101.364,1.428,3.076,1.357,95.106,1.217,3.118,1.16,79.558
39.35,60.024,614,1136,11,103.273,1.428,3.076,1.357,95.106,1.218,3.129,1.162,79.456
40.35,60.024,589,1141,14,81.5,1.437,3.048,1.355,94.832,1.223,3.14,1.161,79.524
41.37,60.024,554,1159,14,82.786,1.438,3.116,1.307,100.575,1.225,3.146,1.165,79.687
42.37,60.024,545,1171,14,83.643,1.438,3.116,1.307,100.575,1.226,3.156,1.168,79.682
43.38,60.024,551,1193,14,85.214,1.438,3.116,1.307,100.575,1.227,3.157,1.169,79.755
44.4,59.952,554,1215,14,86.786,1.438,3.116,1.307,100.575,1.229,3.168,1.17,80.326
45.4,59.952,541,1230,15,82,1.446,3.049,1.316,96.374,1.232,3.167,1.173,80.311
46.4,60.024,528,1238,14,88.429,1.444,3.086,1.323,94.928,1.235,3.177,1.176,80.186
47.41,60.024,525,1259,14,89.929,1.444,3.086,1.323,94.928,1.236,3.181,1.178,80.477
48.42,60.024,507,1269,14,90.643,1.444,3.086,1.323,94.928,1.237,3.186,1.18,80.784
49.42,60.024,499,1270,12,105.833,1.444,3.037,1.349,90.35,1.239,3.184,1.183,80.565
50.43,59.952,502,1273,13,97.923,1.445,3.059,1.364,93.157,1.24,3.202,1.187,80.469
51.44,60.024,499,1284,13,98.769,1.445,3.059,1.364,93.157,1.241,3.21,1.186,80.28
52.45,59.952,480,1295,13,99.615,1.445,3.059,1.364,93.157,1.24,3.218,1.188,80.189
53.45,59.952,498,1291,11,117.364,1.472,2.986,1.42,92.601,1.241,3.226,1.189,80.065
54.47,59.952,454,1305,12,108.75,1.472,3.045,1.43,95.455,1.244,3.222,1.191,80.069
55.48,60.024,477,1310,13,100.769,1.471,3.094,1.439,96.894,1.245,3.228,1.192,80.149
56.49,59.952,477,1293,13,99.462,1.471,3.094,1.439,96.894,1.245,3.237,1.195,80.255
57.49,59.952,461,1297,14,92.643,1.48,3.078,1.435,92.69,1.244,3.248,1.197,80.113
58.5,60.024,473,1295,15,86.333,1.476,3.014,1.437,89.014,1.245,3.255,1.202,80.163
59.51,60.024,474,1307,15,87.133,1.476,3.014,1.437,89.014,1.246,3.258,1.203,80.468
60.52,59.952,452,1325,15,88.333,1.476,3.014,1.437,89.014,1.245,3.263,1.204,80.55
61.52,59.952,443,1326,16,82.875,1.475,3.056,1.443,91.378,1.246,3.268,1.205,80.813
62.52,30.012,454,1333,16,83.313,1.475,3.056,1.443,91.378,1.247,3.273,1.206,81.155
63.53,30.012,458,1338,16,83.625,1.475,3.056,1.443,91.378,1.245,3.276,1.209,81.34
64.55,60.024,448,1331,16,83.188,1.475,3.056,1.443,91.378,1.247,3.283,1.212,81.358
65.56,59.952,453,1337,16,83.563,1.475,3.056,1.443,91.378,1.248,3.287,1.214,81.37
66.56,29.994,445,1334,16,83.375,1.475,3.056,1.443,91.378,1.248,3.299,1.216,81.63
67.58,29.994,437,1323,18,73.5,1.474,3.105,1.454,95.319,1.25,3.306,1.22,81.814
68.59,60.024,435,1312,21,62.476,1.473,3.149,1.454,95.593,1.252,3.31,1.223,81.852
69.59,60.024,458,1305,22,59.318,1.479,3.137,1.451,92.977,1.253,3.315,1.222,82.082
70.61,60.024,463,1298,22,59,1.479,3.137,1.451,92.977,1.254,3.33,1.224,82.126
71.62,60.024,438,1288,22,58.545,1.479,3.137,1.451,92.977,1.256,3.332,1.226,82.124
